campaign_name,effective_status
Cardia_Global-ExcludeUS_Auto_Roas_030726_Creative_CAR_A6_UGC_H2_EN_Campaign2,ACTIVE
Cardia_USExcludeCity_Auto_Roas_030726_All_Creative_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,PAUSED
Cardia_Global-ExcludeUS_Roas4_040726_Creative_CAR_A6_UGC_H2_EN,ACTIVE
Cardia_SEA_Auto_Roas_030726_All,ACTIVE
Cardia_Global_Roas4_030726_All,ACTIVE
Cardia_India_Auto_Roas_030726_All_Creative,ACTIVE
Cardia_US_Auto_Roas_030726_All_Creative_CAR_A6_UGC_H2_EN_202606221322_clean,PAUSED
Cardia_Africa_Auto_Roas_030726_All_Creative,ACTIVE
Cardia_SEA_Auto_Roas3x_020726_All,ACTIVE
Cardia_India_Auto_Roas3x_020726_All_Creative,ACTIVE
Cardia_Africa_Auto_Roas3x_020726_All_Creative,ACTIVE
Cardia_Africa_Auto_Roas_020726_All_Creative,ACTIVE
Cardia_SEA_Auto_Roas_020726_All,ACTIVE
Cardia_Global_Auto_Roas_020726_All,ACTIVE
Cardia_India_Auto_Roas_020726_Creative_ Man_celebrating_World_Cup_goal_202606232334_clean,PAUSED
Cardia_South-Africa+Nigeria_Auto_Roas_010726_Dup,PAUSED
Cardia_India_Auto_Roas_010726_Creative_ Man_celebrating_World_Cup_goal_202606232334_clean,PAUSED
Cardia_Global_Auto_Roas_010726_All,PAUSED
Cardia_India_Auto_Roas_010726_Creative_CAR_A6_UGC_H2_EN,ACTIVE
Cardia_Global-ExcludeUS_Auto_Roas_010726_Creative_CAR_A6_UGC_H2_EN,ACTIVE
Cardia_US_Auto_Roas_010726_All_Creative,PAUSED
Cardia_India_Auto_Roas_010726_All_Creative,ACTIVE
Cardia_India_Auto_Roas_010726_Diabetes,PAUSED
Cardia_Africa_Auto_Roas_010726_Diabetes,PAUSED
Cardia_South-Africa+Nigeria_Auto_Roas_010726,PAUSED
Cardia_Global_Auto_Roas_010726_Diabetes,PAUSED
Cardia_Auto_Roas_290626_South-US,PAUSED
Cardia_Global_Auto_Roas_290626_All_Creative,PAUSED
Cardia_Global_Auto_Roas_280626_Diabetes,PAUSED
Cardia_Global_Auto_Roas_280626_All,PAUSED
Cardia_Roas3_India_020726_Mass,ACTIVE
Cardia_Roas_India_280626_Mass,PAUSED
Cardia_Global_Value_Roas5_260626_Diabetes,PAUSED
Cardia_Global_Value_Install_260626_Diabetes,PAUSED
Cardia_Roas5_India_280626_Mass,PAUSED
Cardia_Global_Value_Install_260626_All,PAUSED
Cardia_Global_Value_Roas_260626_All,PAUSED
Cardia_Value_US_260626_Install,PAUSED
Cardia_US_Broad_Install_Volume_250626,PAUSED
Cardia_Bidding_Roas2_290626_India-City,PAUSED
Cardia_Apro_Roas_250626_US,PAUSED
Cardia_Adr_Global_Value_Roas_240626_All,PAUSED
Cardia_Adr_US_Install_Adv_230626,PAUSED
Cardia_Adr_US_Install_Normal_230626,PAUSED
Cardia_Adr_US_Install_230626,PAUSED
Cardia_Adr_India_Install_Bidding_230626_Normal,PAUSED
Cardia_Adr_India_Install_Roas_230626,PAUSED
Cardia_Adr_India_Install_Cpi_21062026,PAUSED
